"Vb","Ib","Vc"
0.775775775776,1.257e-07,4.41
0.780780780781,1.294e-07,4.395
0.785785785786,1.309e-07,4.38
0.790790790791,1.335e-07,4.37
0.795795795796,1.37e-07,4.355
0.800800800801,1.381e-07,4.34
0.805805805806,1.405e-07,4.33
0.810810810811,1.433e-07,4.315
0.815815815816,1.457e-07,4.3
0.820820820821,1.468e-07,4.29
0.825825825826,1.505e-07,4.275
0.830830830831,1.532e-07,4.26
0.835835835836,1.565e-07,4.245
0.840840840841,1.588e-07,4.23
0.845845845846,1.616e-07,4.22
0.850850850851,1.636e-07,4.205
0.855855855856,1.65e-07,4.185
0.860860860861,1.68e-07,4.17
0.865865865866,1.71e-07,4.155
0.870870870871,1.72e-07,4.14
0.875875875876,1.75e-07,4.125
0.880880880881,1.77e-07,4.11
0.885885885886,1.8e-07,4.1
0.890890890891,1.83e-07,4.085
0.895895895896,1.85e-07,4.07
0.900900900901,1.87e-07,4.055
0.905905905906,1.91e-07,4.04
0.910910910911,1.95e-07,4.03
0.915915915916,1.96e-07,4.015
0.920920920921,1.97e-07,4.0
0.925925925926,2.01e-07,3.985
0.930930930931,2.01e-07,3.97
0.935935935936,2.06e-07,3.955
0.940940940941,2.08e-07,3.945
0.945945945946,2.12e-07,3.93
0.950950950951,2.16e-07,3.915
0.955955955956,2.16e-07,3.9
0.960960960961,2.2e-07,3.89
0.965965965966,2.22e-07,3.87
0.970970970971,2.24e-07,3.86
0.975975975976,2.28e-07,3.845
0.980980980981,2.31e-07,3.83
0.985985985986,2.33e-07,3.815
0.990990990991,2.36e-07,3.8
0.995995995996,2.38e-07,3.785
1.001001001,2.41e-07,3.77
1.00600600601,2.42e-07,3.755
1.01101101101,2.47e-07,3.74
1.01601601602,2.48e-07,3.725
1.02102102102,2.51e-07,3.71
1.02602602603,2.52e-07,3.695
1.03103103103,2.58e-07,3.68
1.03603603604,2.6e-07,3.665
1.04104104104,2.63e-07,3.65
1.04604604605,2.66e-07,3.635
1.05105105105,2.69e-07,3.62
1.05605605606,2.7e-07,3.605
1.06106106106,2.72e-07,3.595
1.06606606607,2.74e-07,3.58
1.07107107107,2.77e-07,3.565
1.07607607608,2.79e-07,3.55
1.08108108108,2.83e-07,3.535
1.08608608609,2.85e-07,3.52
1.09109109109,2.86e-07,3.505
1.0960960961,2.91e-07,3.49
1.1011011011,2.94e-07,3.475
1.10610610611,2.94e-07,3.46
1.11111111111,2.99e-07,3.445
1.11611611612,3.01e-07,3.43
1.12112112112,3.03e-07,3.42
1.12612612613,3.08e-07,3.405
1.13113113113,3.09e-07,3.39
1.13613613614,3.11e-07,3.375
1.14114114114,3.17e-07,3.36
1.14614614615,3.17e-07,3.345
1.15115115115,3.2e-07,3.33
1.15615615616,3.21e-07,3.315
1.16116116116,3.26e-07,3.3
1.16616616617,3.26e-07,3.285
1.17117117117,3.29e-07,3.27
1.17617617618,3.34e-07,3.255
1.18118118118,3.35e-07,3.24
1.18618618619,3.38e-07,3.225
1.19119119119,3.4e-07,3.215
1.1961961962,3.42e-07,3.2
1.2012012012,3.47e-07,3.185
1.20620620621,3.48e-07,3.17
1.21121121121,3.52e-07,3.155
1.21621621622,3.53e-07,3.14
1.22122122122,3.57e-07,3.125
1.22622622623,3.58e-07,3.11
1.23123123123,3.61e-07,3.095
1.23623623624,3.62e-07,3.08
1.24124124124,3.68e-07,3.065
1.24624624625,3.69e-07,3.05
1.25125125125,3.72e-07,3.035
1.25625625626,3.76e-07,3.02
1.26126126126,3.77e-07,3.005
1.26626626627,3.8e-07,2.99
1.27127127127,3.84e-07,2.975
1.27627627628,3.86e-07,2.96
1.28128128128,3.9e-07,2.945
1.28628628629,3.89e-07,2.93
1.29129129129,3.94e-07,2.915
1.2962962963,3.97e-07,2.9
1.3013013013,3.99e-07,2.885
1.30630630631,4.02e-07,2.87
1.31131131131,4.07e-07,2.855
1.31631631632,4.05e-07,2.845
1.32132132132,4.09e-07,2.825
1.32632632633,4.12e-07,2.815
1.33133133133,4.17e-07,2.8
1.33633633634,4.17e-07,2.785
1.34134134134,4.19e-07,2.77
1.34634634635,4.22e-07,2.755
1.35135135135,4.24e-07,2.74
1.35635635636,4.26e-07,2.725
1.36136136136,4.31e-07,2.71
1.36636636637,4.32e-07,2.695
1.37137137137,4.37e-07,2.68
