"Vb","Ib","Vc"
0.0,-2.042e-07,5.015
0.00500500500501,-8e-08,5.03
0.01001001001,-1.86e-08,5.025
0.015015015015,-1.11e-08,5.025
0.02002002002,-8.1e-09,5.025
0.025025025025,-6.1e-09,5.025
0.03003003003,-4.8e-09,5.025
0.035035035035,-3.4e-09,5.025
0.04004004004,-2.9e-09,5.03
0.045045045045,-2e-09,5.025
0.0500500500501,-1.6e-09,5.025
0.0550550550551,-1.2e-09,5.025
0.0600600600601,-1e-09,5.025
0.0650650650651,-6e-10,5.025
0.0700700700701,0.0,5.025
0.0750750750751,0.0,5.025
0.0800800800801,2e-10,5.025
0.0850850850851,4e-10,5.03
0.0900900900901,5e-10,5.025
0.0950950950951,6e-10,5.025
0.1001001001,8e-10,5.025
0.105105105105,1e-09,5.025
0.11011011011,9e-10,5.025
0.115115115115,1.3e-09,5.025
0.12012012012,1.5e-09,5.025
0.125125125125,2e-09,5.025
0.13013013013,1.3e-09,5.025
0.135135135135,1.3e-09,5.025
0.14014014014,1.7e-09,5.03
0.145145145145,1.5e-09,5.03
0.15015015015,1.4e-09,5.025
0.155155155155,1.6e-09,5.025
0.16016016016,1.8e-09,5.025
0.165165165165,1.6e-09,5.025
0.17017017017,1.8e-09,5.025
0.175175175175,1.5e-09,5.03
0.18018018018,1.5e-09,5.03
0.185185185185,1.5e-09,5.03
0.19019019019,1.2e-09,5.03
0.195195195195,2.3e-09,5.03
0.2002002002,2.2e-09,5.025
0.205205205205,2e-09,5.025
0.21021021021,2e-09,5.025
0.215215215215,1.8e-09,5.025
0.22022022022,2.2e-09,5.03
0.225225225225,2e-09,5.03
0.23023023023,2e-09,5.03
0.235235235235,2.4e-09,5.03
0.24024024024,2.3e-09,5.03
0.245245245245,2.2e-09,5.03
0.25025025025,2.4e-09,5.025
0.255255255255,2.6e-09,5.025
0.26026026026,2.6e-09,5.025
0.265265265265,2.4e-09,5.025
0.27027027027,2.8e-09,5.025
0.275275275275,2.2e-09,5.03
0.28028028028,2.5e-09,5.03
0.285285285285,2.6e-09,5.03
0.29029029029,2.2e-09,5.03
0.295295295295,2.8e-09,5.03
0.3003003003,2.7e-09,5.03
0.305305305305,2.4e-09,5.025
0.31031031031,2.7e-09,5.025
0.315315315315,2.4e-09,5.025
0.32032032032,1.9e-09,5.03
0.325325325325,2.8e-09,5.025
0.33033033033,2.5e-09,5.025
0.335335335335,3e-09,5.03
0.34034034034,2.9e-09,5.025
0.345345345345,2.2e-09,5.03
0.35035035035,2.6e-09,5.025
0.355355355355,3e-09,5.025
0.36036036036,3.2e-09,5.025
0.365365365365,2.7e-09,5.025
0.37037037037,3.2e-09,5.025
0.375375375375,2.7e-09,5.025
0.38038038038,3.2e-09,5.025
0.385385385385,3.2e-09,5.025
0.39039039039,2.7e-09,5.03
0.395395395395,3.2e-09,5.025
0.4004004004,3.2e-09,5.025
0.405405405405,3.2e-09,5.025
0.41041041041,3.2e-09,5.025
0.415415415415,2.7e-09,5.025
0.42042042042,2.6e-09,5.025
