"V","Ib","Ie"
0.001,-2.042e-07,-6e-10
0.00100856216636,-2.8e-08,-5e-10
0.00101719764341,-1.06e-08,-5e-10
0.00102590705885,-7.6e-09,-6e-10
0.00103469104576,-5.8e-09,-7e-10
0.00104355024262,-4.8e-09,-5e-10
0.0010524852934,-4.3e-09,-6e-10
0.00106149684757,-3.8e-09,-5e-10
0.00107058556017,-3.3e-09,-6e-10
0.00107975209184,-3.1e-09,-4e-10
0.00108899710887,-3.1e-09,-4e-10
0.00109832128328,-3.1e-09,-6e-10
0.00110772529283,-2.5e-09,-6e-10
0.00111720982106,-2.5e-09,-5e-10
0.00112677555741,-2.1e-09,-8e-10
0.00113642319718,-2.3e-09,-5e-10
0.00114615344165,-2.1e-09,-5e-10
0.00115596699809,-2.3e-09,-6e-10
0.00116586457983,-1.8e-09,-6e-10
0.00117584690631,-2.2e-09,-5e-10
0.00118591470314,-1.9e-09,-3e-10
0.00119606870211,-1.8e-09,-6e-10
0.00120630964132,-1.6e-09,-8e-10
0.00121663826515,-1.6e-09,-7e-10
0.00122705532437,-1.4e-09,-7e-10
0.00123756157619,-1.7e-09,-6e-10
0.00124815778428,-1.6e-09,-5e-10
0.00125884471887,-1.5e-09,-6e-10
0.00126962315677,-1.6e-09,-3e-10
0.00128049388146,-1.6e-09,-6e-10
0.00129145768309,-1.7e-09,-4e-10
0.00130251535862,-1.6e-09,-4e-10
0.0013136677118,-1.4e-09,-3e-10
0.00132491555329,-1.6e-09,-4e-10
0.00133625970067,-1.6e-09,-7e-10
0.00134770097852,-1.4e-09,-5e-10
0.0013592402185,-1.5e-09,-4e-10
0.00137087825937,-1.4e-09,-4e-10
0.00138261594709,-1.3e-09,-8e-10
0.00139445413484,-1.5e-09,-5e-10
0.00140639368312,-1.3e-09,-5e-10
0.0014184354598,-1.4e-09,-5e-10
0.00143058034017,-1.1e-09,-5e-10
0.00144282920704,-1.3e-09,-4e-10
0.00145518295073,-1.2e-09,-2e-10
0.00146764246924,-1.6e-09,-5e-10
0.00148020866822,-1.3e-09,-7e-10
0.00149288246108,-1.2e-09,-7e-10
0.00150566476906,-1.2e-09,-3e-10
0.0015185565213,-1.1e-09,-5e-10
0.00153155865486,-1.1e-09,-7e-10
0.00154467211485,-9e-10,-7e-10
0.00155789785446,-1.2e-09,-4e-10
0.00157123683506,-1.3e-09,-6e-10
0.00158469002623,-1.2e-09,-4e-10
0.00159825840586,-1.2e-09,-5e-10
0.00161194296022,-1.2e-09,-5e-10
0.001625744684,-1.2e-09,-5e-10
0.00163966458044,-1e-09,-5e-10
0.00165370366135,-1e-09,-4e-10
0.00166786294721,-1.1e-09,-6e-10
0.00168214346723,-1.4e-09,-7e-10
0.00169654625943,-1.1e-09,-5e-10
0.00171107237074,-9e-10,-8e-10
0.00172572285703,-1.3e-09,-3e-10
0.00174049878322,-1e-09,-3e-10
0.00175540122335,-1e-09,-4e-10
0.00177043126065,-1.3e-09,-4e-10
0.00178558998763,-1.1e-09,-5e-10
0.00180087850615,-1.4e-09,-7e-10
0.00181629792751,-1.2e-09,-4e-10
0.00183184937252,-1e-09,-8e-10
0.00184753397159,-1.2e-09,-4e-10
0.00186335286481,-1.1e-09,-8e-10
0.00187930720202,-1e-09,-6e-10
0.00189539814293,-9e-10,-4e-10
0.00191162685714,-1.1e-09,-6e-10
0.00192799452431,-9e-10,-5e-10
0.00194450233416,-1e-09,-6e-10
