"Vb","Ib","Vc"
0.0,-2.042e-07,4.875
0.00500500500501,-1.8e-07,5.025
0.01001001001,-4.4e-08,5.025
0.015015015015,-2.91e-08,5.025
0.02002002002,-2.17e-08,5.025
0.025025025025,-1.71e-08,5.025
0.03003003003,-1.44e-08,5.025
0.035035035035,-1.18e-08,5.025
0.04004004004,-1e-08,5.025
0.045045045045,-8.7e-09,5.025
0.0500500500501,-7.4e-09,5.025
0.0550550550551,-6.8e-09,5.025
0.0600600600601,-5.8e-09,5.025
0.0650650650651,-5.2e-09,5.025
0.0700700700701,-4.5e-09,5.025
0.0750750750751,-3.7e-09,5.025
0.0800800800801,-3.3e-09,5.025
0.0850850850851,-3e-09,5.025
0.0900900900901,-2.5e-09,5.025
0.0950950950951,-2.2e-09,5.025
0.1001001001,-1.8e-09,5.025
0.105105105105,-1.6e-09,5.025
0.11011011011,-1.4e-09,5.025
0.115115115115,-1.6e-09,5.025
0.12012012012,-1.3e-09,5.025
0.125125125125,-9e-10,5.025
0.13013013013,-1e-09,5.025
0.135135135135,-5e-10,5.025
0.14014014014,-5e-10,5.025
0.145145145145,-4e-10,5.025
0.15015015015,-3e-10,5.025
0.155155155155,-2e-10,5.025
0.16016016016,0.0,5.025
0.165165165165,1e-10,5.025
0.17017017017,1e-10,5.025
0.175175175175,3e-10,5.025
0.18018018018,1e-10,5.025
0.185185185185,5e-10,5.025
0.19019019019,5e-10,5.025
0.195195195195,1e-09,5.025
0.2002002002,1.1e-09,5.025
0.205205205205,1e-09,5.025
0.21021021021,6e-10,5.025
0.215215215215,1.3e-09,5.025
0.22022022022,1.4e-09,5.025
0.225225225225,1.2e-09,5.025
0.23023023023,1.2e-09,5.025
0.235235235235,1.3e-09,5.025
0.24024024024,9e-10,5.025
0.245245245245,1.4e-09,5.025
0.25025025025,1.8e-09,5.025
0.255255255255,1.2e-09,5.025
0.26026026026,1.4e-09,5.025
0.265265265265,1.5e-09,5.025
0.27027027027,1.5e-09,5.025
0.275275275275,1.8e-09,5.025
0.28028028028,1.3e-09,5.025
0.285285285285,1.9e-09,5.025
0.29029029029,2e-09,5.025
0.295295295295,1.7e-09,5.025
0.3003003003,1.6e-09,5.025
0.305305305305,1.7e-09,5.025
0.31031031031,1.6e-09,5.025
0.315315315315,1.7e-09,5.025
0.32032032032,1.9e-09,5.025
0.325325325325,2.3e-09,5.025
0.33033033033,1.8e-09,5.025
0.335335335335,2.1e-09,5.025
0.34034034034,2.2e-09,5.025
0.345345345345,2.4e-09,5.025
0.35035035035,2e-09,5.025
0.355355355355,1.7e-09,5.025
0.36036036036,1.8e-09,5.025
0.365365365365,2.3e-09,5.025
0.37037037037,2.5e-09,5.025
0.375375375375,2.5e-09,5.025
0.38038038038,2.4e-09,5.025
0.385385385385,2.2e-09,5.025
0.39039039039,2.6e-09,5.025
0.395395395395,2.8e-09,5.025
0.4004004004,2.4e-09,5.025
0.405405405405,3.2e-09,5.025
0.41041041041,2.7e-09,5.025
0.415415415415,2.7e-09,5.025
0.42042042042,2.7e-09,5.025
0.425425425425,2.6e-09,5.025
0.43043043043,3e-09,5.025
0.435435435435,3.5e-09,5.025
0.44044044044,3.7e-09,5.025
0.445445445445,3.5e-09,5.025
0.45045045045,3.4e-09,5.025
0.455455455455,4.8e-09,5.025
0.46046046046,4.2e-09,5.02
0.465465465465,4.9e-09,5.02
0.47047047047,5.1e-09,5.02
0.475475475475,5.9e-09,5.02
0.48048048048,6.6e-09,5.02
0.485485485485,5.9e-09,5.015
0.49049049049,7.2e-09,5.015
0.495495495495,8e-09,5.01
0.500500500501,9e-09,5.01
0.505505505506,9.8e-09,5.01
0.510510510511,1.17e-08,5.005
0.515515515516,1.14e-08,5.0
0.520520520521,1.36e-08,5.0
0.525525525526,1.51e-08,4.995
0.530530530531,1.62e-08,4.99
0.535535535536,1.73e-08,4.985
0.540540540541,1.86e-08,4.98
0.545545545546,2.01e-08,4.98
0.550550550551,2.19e-08,4.97
0.555555555556,2.21e-08,4.965
0.560560560561,2.53e-08,4.96
0.565565565566,2.7e-08,4.955
0.570570570571,2.91e-08,4.95
0.575575575576,3.01e-08,4.945
0.580580580581,3.25e-08,4.94
0.585585585586,3.5e-08,4.93
0.590590590591,3.77e-08,4.925
0.595595595596,3.85e-08,4.92
0.600600600601,4.11e-08,4.91
0.605605605606,4.31e-08,4.905
0.610610610611,4.46e-08,4.9
0.615615615616,4.82e-08,4.89
0.620620620621,4.95e-08,4.885
0.625625625626,5.26e-08,4.875
0.630630630631,5.45e-08,4.87
0.635635635636,5.66e-08,4.86
0.640640640641,5.96e-08,4.855
0.645645645646,6.02e-08,4.85
0.650650650651,6.43e-08,4.84
0.655655655656,6.55e-08,4.83
0.660660660661,6.99e-08,4.825
0.665665665666,6.98e-08,4.815
0.670670670671,7.2e-08,4.81
0.675675675676,7.55e-08,4.8
0.680680680681,7.87e-08,4.79
0.685685685686,7.98e-08,4.785
0.690690690691,8.38e-08,4.775
0.695695695696,8.52e-08,4.77
0.700700700701,8.69e-08,4.76
0.705705705706,9e-08,4.75
0.710710710711,9.29e-08,4.745
0.715715715716,9.59e-08,4.735
0.720720720721,9.81e-08,4.725
0.725725725726,1e-07,4.715
0.730730730731,1.026e-07,4.71
0.735735735736,1.054e-07,4.7
0.740740740741,1.08e-07,4.69
0.745745745746,1.097e-07,4.685
0.750750750751,1.136e-07,4.675
0.755755755756,1.156e-07,4.665
0.760760760761,1.184e-07,4.655
0.765765765766,1.222e-07,4.645
0.770770770771,1.242e-07,4.64
0.775775775776,1.267e-07,4.63
0.780780780781,1.275e-07,4.62
0.785785785786,1.317e-07,4.615
0.790790790791,1.332e-07,4.605
0.795795795796,1.354e-07,4.595
0.800800800801,1.383e-07,4.585
0.805805805806,1.411e-07,4.58
0.810810810811,1.432e-07,4.57
0.815815815816,1.458e-07,4.56
0.820820820821,1.475e-07,4.555
0.825825825826,1.515e-07,4.545
0.830830830831,1.525e-07,4.535
0.835835835836,1.551e-07,4.525
0.840840840841,1.584e-07,4.515
0.845845845846,1.61e-07,4.51
0.850850850851,1.636e-07,4.5
0.855855855856,1.664e-07,4.49
0.860860860861,1.69e-07,4.475
0.865865865866,1.7e-07,4.465
0.870870870871,1.72e-07,4.455
0.875875875876,1.75e-07,4.45
0.880880880881,1.77e-07,4.44
0.885885885886,1.8e-07,4.43
0.890890890891,1.82e-07,4.42
0.895895895896,1.85e-07,4.41
0.900900900901,1.87e-07,4.4
0.905905905906,1.91e-07,4.39
0.910910910911,1.95e-07,4.385
0.915915915916,1.95e-07,4.375
0.920920920921,1.97e-07,4.365
0.925925925926,2.01e-07,4.355
0.930930930931,2.03e-07,4.35
0.935935935936,2.05e-07,4.34
0.940940940941,2.08e-07,4.33
0.945945945946,2.12e-07,4.32
0.950950950951,2.14e-07,4.31
0.955955955956,2.15e-07,4.3
0.960960960961,2.19e-07,4.295
0.965965965966,2.2e-07,4.285
0.970970970971,2.24e-07,4.275
0.975975975976,2.28e-07,4.265
0.980980980981,2.29e-07,4.255
0.985985985986,2.32e-07,4.245
0.990990990991,2.36e-07,4.235
0.995995995996,2.37e-07,4.225
1.001001001,2.4e-07,4.215
1.00600600601,2.42e-07,4.21
1.01101101101,2.46e-07,4.195
1.01601601602,2.48e-07,4.19
1.02102102102,2.52e-07,4.18
1.02602602603,2.54e-07,4.17
1.03103103103,2.55e-07,4.16
1.03603603604,2.59e-07,4.15
1.04104104104,2.62e-07,4.14
1.04604604605,2.63e-07,4.13
1.05105105105,2.64e-07,4.125
1.05605605606,2.69e-07,4.115
1.06106106106,2.71e-07,4.105
1.06606606607,2.74e-07,4.095
1.07107107107,2.75e-07,4.085
1.07607607608,2.78e-07,4.075
1.08108108108,2.83e-07,4.065
1.08608608609,2.84e-07,4.06
1.09109109109,2.88e-07,4.05
1.0960960961,2.91e-07,4.04
1.1011011011,2.92e-07,4.03
1.10610610611,2.96e-07,4.02
1.11111111111,2.98e-07,4.01
1.11611611612,3.02e-07,4.0
1.12112112112,3.03e-07,3.99
1.12612612613,3.06e-07,3.98
1.13113113113,3.07e-07,3.97
1.13613613614,3.12e-07,3.96
1.14114114114,3.15e-07,3.95
1.14614614615,3.18e-07,3.945
1.15115115115,3.2e-07,3.935
1.15615615616,3.22e-07,3.925
1.16116116116,3.25e-07,3.915
1.16616616617,3.27e-07,3.905
1.17117117117,3.3e-07,3.895
1.17617617618,3.33e-07,3.89
1.18118118118,3.36e-07,3.88
1.18618618619,3.36e-07,3.87
1.19119119119,3.39e-07,3.86
1.1961961962,3.42e-07,3.85
1.2012012012,3.45e-07,3.84
1.20620620621,3.46e-07,3.83
1.21121121121,3.51e-07,3.82
1.21621621622,3.52e-07,3.815
1.22122122122,3.53e-07,3.805
1.22622622623,3.59e-07,3.795
1.23123123123,3.6e-07,3.785
1.23623623624,3.63e-07,3.775
1.24124124124,3.65e-07,3.765
1.24624624625,3.68e-07,3.755
1.25125125125,3.69e-07,3.745
1.25625625626,3.73e-07,3.735
1.26126126126,3.77e-07,3.725
1.26626626627,3.79e-07,3.715
1.27127127127,3.82e-07,3.705
1.27627627628,3.85e-07,3.695
1.28128128128,3.88e-07,3.685
1.28628628629,3.87e-07,3.675
1.29129129129,3.95e-07,3.665
1.2962962963,3.95e-07,3.66
1.3013013013,3.96e-07,3.65
1.30630630631,4e-07,3.64
1.31131131131,4.03e-07,3.63
1.31631631632,4.04e-07,3.62
1.32132132132,4.09e-07,3.61
1.32632632633,4.1e-07,3.6
1.33133133133,4.14e-07,3.59
1.33633633634,4.15e-07,3.585
1.34134134134,4.19e-07,3.575
1.34634634635,4.21e-07,3.565
1.35135135135,4.23e-07,3.555
1.35635635636,4.27e-07,3.545
1.36136136136,4.31e-07,3.535
1.36636636637,4.33e-07,3.525
1.37137137137,4.35e-07,3.515
1.37637637638,4.37e-07,3.505
1.38138138138,4.38e-07,3.495
1.38638638639,4.41e-07,3.49
