"V","Ib","Ve"
0.001,-2.042e-07,-0.002
0.00100856216636,-5e-08,0.0
0.00101719764341,-1.51e-08,0.0
0.00102590705885,-1.05e-08,0.0
0.00103469104576,-8.5e-09,0.0
0.00104355024262,-7.1e-09,0.0
0.0010524852934,-6.2e-09,0.0
0.00106149684757,-5.4e-09,0.0
0.00107058556017,-5.1e-09,0.0
0.00107975209184,-4.5e-09,0.0
0.00108899710887,-4.3e-09,0.0
0.00109832128328,-3.9e-09,0.0
0.00110772529283,-3.6e-09,0.0
0.00111720982106,-3.6e-09,0.0
0.00112677555741,-3.1e-09,0.0
0.00113642319718,-3.1e-09,0.0
0.00114615344165,-2.9e-09,0.0
0.00115596699809,-2.8e-09,0.0
0.00116586457983,-2.9e-09,0.0
0.00117584690631,-2.7e-09,0.0
0.00118591470314,-2.4e-09,0.0
0.00119606870211,-2.6e-09,0.0
0.00120630964132,-2.5e-09,0.0
0.00121663826515,-2.3e-09,0.0
0.00122705532437,-2.2e-09,0.0
0.00123756157619,-2.2e-09,0.0
0.00124815778428,-2.4e-09,0.0
0.00125884471887,-2.2e-09,0.0
0.00126962315677,-1.9e-09,0.0
0.00128049388146,-1.9e-09,0.0
0.00129145768309,-1.9e-09,0.0
0.00130251535862,-1.9e-09,0.0
0.0013136677118,-1.9e-09,0.0
0.00132491555329,-1.4e-09,0.0
0.00133625970067,-1.8e-09,0.0
0.00134770097852,-1.8e-09,0.0
0.0013592402185,-1.9e-09,0.0
0.00137087825937,-2.1e-09,0.0
0.00138261594709,-1.8e-09,0.0
0.00139445413484,-1.9e-09,0.0
0.00140639368312,-1.8e-09,0.0
0.0014184354598,-1.6e-09,0.0
0.00143058034017,-1.7e-09,0.0
0.00144282920704,-1.6e-09,0.0
0.00145518295073,-1.7e-09,0.0
0.00146764246924,-1.6e-09,0.0
0.00148020866822,-1.5e-09,0.0
0.00149288246108,-1.6e-09,0.0
0.00150566476906,-1.5e-09,0.0
0.0015185565213,-1.4e-09,0.0
0.00153155865486,-1.6e-09,0.0
0.00154467211485,-1.8e-09,0.0
0.00155789785446,-1.6e-09,0.0
0.00157123683506,-1.3e-09,0.0
0.00158469002623,-1.6e-09,0.0
0.00159825840586,-1.6e-09,0.0
0.00161194296022,-1.5e-09,0.0
0.001625744684,-1.4e-09,0.0
0.00163966458044,-1.6e-09,0.0
0.00165370366135,-1.5e-09,0.0
0.00166786294721,-1.3e-09,0.0
0.00168214346723,-1.4e-09,0.0
0.00169654625943,-1.5e-09,0.0
