"V","Ib","Ie"
0.001,-2.042e-07,-2.3e-08
0.00100856216636,-5e-08,-5e-10
0.00101719764341,-1.92e-08,-5e-10
0.00102590705885,-1.39e-08,-7e-10
0.00103469104576,-1.13e-08,-3e-10
0.00104355024262,-9.4e-09,-4e-10
0.0010524852934,-8.7e-09,-9e-10
0.00106149684757,-7.4e-09,-4e-10
0.00107058556017,-6.9e-09,-4e-10
0.00107975209184,-6.3e-09,-4e-10
0.00108899710887,-5.8e-09,-7e-10
0.00109832128328,-5.3e-09,-2e-10
0.00110772529283,-5.3e-09,-5e-10
0.00111720982106,-4.7e-09,-6e-10
0.00112677555741,-4.4e-09,-5e-10
0.00113642319718,-4.3e-09,-5e-10
0.00114615344165,-4.1e-09,-5e-10
0.00115596699809,-3.9e-09,-6e-10
0.00116586457983,-3.7e-09,-7e-10
0.00117584690631,-3.7e-09,-6e-10
0.00118591470314,-3.7e-09,-7e-10
0.00119606870211,-3.4e-09,-4e-10
0.00120630964132,-3.3e-09,-4e-10
0.00121663826515,-3.1e-09,-7e-10
0.00122705532437,-3.1e-09,-6e-10
0.00123756157619,-3.1e-09,-4e-10
0.00124815778428,-2.9e-09,-5e-10
0.00125884471887,-2.8e-09,-5e-10
0.00126962315677,-2.7e-09,-4e-10
0.00128049388146,-2.6e-09,-7e-10
0.00129145768309,-2.4e-09,-7e-10
0.00130251535862,-2.6e-09,-6e-10
0.0013136677118,-2.5e-09,-7e-10
0.00132491555329,-2.4e-09,-2e-10
0.00133625970067,-2.3e-09,-5e-10
0.00134770097852,-2.5e-09,-6e-10
0.0013592402185,-2.7e-09,-6e-10
0.00137087825937,-2.3e-09,-5e-10
0.00138261594709,-2.2e-09,-7e-10
0.00139445413484,-2.1e-09,-3e-10
0.00140639368312,-2.3e-09,-4e-10
0.0014184354598,-2.2e-09,-5e-10
0.00143058034017,-2.1e-09,-5e-10
0.00144282920704,-2.3e-09,-6e-10
0.00145518295073,-2.1e-09,-8e-10
0.00146764246924,-1.8e-09,-5e-10
0.00148020866822,-1.9e-09,-6e-10
0.00149288246108,-2.1e-09,-6e-10
0.00150566476906,-2e-09,-4e-10
0.0015185565213,-1.8e-09,-7e-10
0.00153155865486,-2.1e-09,-5e-10
0.00154467211485,-1.9e-09,-3e-10
0.00155789785446,-1.9e-09,-2e-10
0.00157123683506,-1.9e-09,-5e-10
0.00158469002623,-1.9e-09,-6e-10
0.00159825840586,-1.9e-09,-4e-10
0.00161194296022,-1.8e-09,-6e-10
0.001625744684,-2e-09,-4e-10
0.00163966458044,-1.9e-09,-7e-10
0.00165370366135,-1.7e-09,-6e-10
0.00166786294721,-1.8e-09,-5e-10
0.00168214346723,-1.8e-09,-5e-10
0.00169654625943,-1.7e-09,-6e-10
0.00171107237074,-1.8e-09,-7e-10
0.00172572285703,-1.8e-09,-6e-10
